term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.2436615668068544,0.04076032367724941,5.97791049787113,3.2750065083179255e-9,0.1636633939925123,0.32365973962119654
departmentsewing,0.01695802930476258,0.021919508195688078,0.7736500816244818,0.4393443483445503,-0.02606225234287261,0.059978310952397765
dayWeekend,0.006135577294319724,0.01080100225156834,0.5680562925008944,0.5701408347077623,-0.015062989516162747,0.027334144104802196
targeted_productivity,0.6988608068065423,0.0526824839793184,13.265524971846327,9.205911282147322e-37,0.5954636284367673,0.8022579851763173
smv,-0.001877741579855695,9.822024640356306e-4,-1.9117663095045723,0.056228857128269666,-0.0038054594036582507,4.997624394686051e-5
wip,7.06041904737556e-6,3.621374175786083e-6,1.9496519013650313,0.05153312853509981,-4.70641864151023e-8,1.4167902281166223e-5
over_time,-7.803023539280434e-8,2.1391013830857443e-6,-0.03647804447690199,0.9709094111526051,-4.276333552768212e-6,4.120273081982603e-6
incentive,6.620842388098961e-5,3.592301832486835e-5,1.8430640566512655,0.06565391185851417,-4.295820656440534e-6,1.3671266841841975e-4
idle_time,3.560345769730864e-4,4.4971649661887e-4,0.7916867174094838,0.42875550411552477,-5.266006616194208e-4,0.0012386698155655938
idle_men,-0.007730634035536054,0.002021489961126766,-3.8242257860271773,1.4038300174135616e-4,-0.011698107516197816,-0.003763160554874293
no_of_style_change,-0.035184922104510095,0.013510977035835337,-2.6041730373154124,0.009363993931165961,-0.06170221584245573,-0.008667628366564463
halfHalf2,-0.0057575526651271365,0.010467174169378663,-0.550057978587062,0.5824183991780116,-0.02630093241623412,0.014785827085979846
