term,estimate,std.error,statistic,p.value
(Intercept),0.24255820831720398,0.03937798318863592,6.159741781473557,1.1022062915774885e-9
targeted_productivity,0.6992922750064271,0.052028005672016736,13.440689605032112,1.2478989986471842e-37
smv,-0.00124141315564288,5.18779249530043e-4,-2.3929506755859333,0.016919870325265665
wip,7.646481502824277e-6,3.5158668477646825e-6,2.1748495702235586,0.0299040825289629
incentive,6.773158784838442e-5,3.571330008998816e-5,1.8965367993917832,0.0582126840382455
idle_men,-0.006658320363813782,0.0015498640870121112,-4.296067261388031,1.9299596528828507e-5
no_of_style_change,-0.03696439860114033,0.012714625207510058,-2.9072346213797027,0.003736943215005832
