n_input_variables,RSQ,RSS,ADJ.R2
1,0.19458844261862718,21.492549638435406,0.19368854143719538
2,0.21648869450443087,20.908137549440518,0.21473587279191286
3,0.22813078701687173,20.597466254838757,0.22553772135175487
4,0.2310128507310244,20.520557875675493,0.22756447786434741
5,0.2337486242595379,20.447553275949776,0.22944867265605606
6,0.25688624910085267,19.83012167112618,0.2518764934768135
7,0.26607233901157357,19.584989239663177,0.2602933810510347
8,0.271444480429168,19.4416326972543,0.2648809171897911
9,0.27311787748482963,19.396977801314446,0.2657425233668629
10,0.2737899414510998,19.37904365569301,0.26559343966160875
11,0.2743755089188935,19.36341768440806,0.2653564474478288
12,0.27442498396421955,19.362097434086607,0.264575549357399
